{'generation': 0, 'avg_fitness': 2073.5558363451546, 'var_fitness': 3662548.6380037512, 'best_fitness': 5988}
{'generation': 1, 'avg_fitness': 3735.4444444444443, 'var_fitness': 5404537.5802469142, 'best_fitness': 7044}
{'generation': 2, 'avg_fitness': 5758.8888888888887, 'var_fitness': 1047894.3209876544, 'best_fitness': 6586}
{'generation': 3, 'avg_fitness': 5651.333333333333, 'var_fitness': 1634026.6666666667, 'best_fitness': 6931}
{'generation': 4, 'avg_fitness': 5959.5555555555557, 'var_fitness': 1838007.8024691357, 'best_fitness': 7340}
{'generation': 5, 'avg_fitness': 6196.2222222222226, 'var_fitness': 567080.39506172843, 'best_fitness': 7340}
{'generation': 6, 'avg_fitness': 5823.666666666667, 'var_fitness': 1174527.111111111, 'best_fitness': 7340}
{'generation': 7, 'avg_fitness': 5628.7777777777774, 'var_fitness': 1488810.1728395063, 'best_fitness': 7340}
{'generation': 8, 'avg_fitness': 5739.2222222222226, 'var_fitness': 1175551.7283950618, 'best_fitness': 7340}
{'generation': 9, 'avg_fitness': 5917.8888888888887, 'var_fitness': 1513135.2098765431, 'best_fitness': 7069}
{'generation': 10, 'avg_fitness': 6040.8888888888887, 'var_fitness': 1293648.3209876544, 'best_fitness': 7220}
{'generation': 11, 'avg_fitness': 6340.5555555555557, 'var_fitness': 659032.02469135798, 'best_fitness': 7220}
{'generation': 12, 'avg_fitness': 6139.4444444444443, 'var_fitness': 1033952.9135802467, 'best_fitness': 7444}
{'generation': 13, 'avg_fitness': 6383.666666666667, 'var_fitness': 438235.11111111107, 'best_fitness': 7444}
{'generation': 14, 'avg_fitness': 6192.1111111111113, 'var_fitness': 392696.54320987657, 'best_fitness': 7105}
{'generation': 15, 'avg_fitness': 6465.8888888888887, 'var_fitness': 212930.76543209873, 'best_fitness': 7512}
{'generation': 16, 'avg_fitness': 5948.8888888888887, 'var_fitness': 567756.98765432101, 'best_fitness': 6729}
{'generation': 17, 'avg_fitness': 6756.7777777777774, 'var_fitness': 565070.17283950606, 'best_fitness': 7822}
{'generation': 18, 'avg_fitness': 6704.666666666667, 'var_fitness': 198330.88888888888, 'best_fitness': 7702}
{'generation': 19, 'avg_fitness': 7167.333333333333, 'var_fitness': 93983.777777777796, 'best_fitness': 7702}
{'generation': 20, 'avg_fitness': 6958.8888888888887, 'var_fitness': 141982.09876543211, 'best_fitness': 7702}
{'generation': 21, 'avg_fitness': 6807.8888888888887, 'var_fitness': 319081.43209876545, 'best_fitness': 7702}
{'generation': 22, 'avg_fitness': 6302.5555555555557, 'var_fitness': 2141728.0246913582, 'best_fitness': 7702}
{'generation': 23, 'avg_fitness': 6345.2222222222226, 'var_fitness': 1147296.8395061728, 'best_fitness': 8562}
{'generation': 24, 'avg_fitness': 6641.5555555555557, 'var_fitness': 2668090.9135802467, 'best_fitness': 8955}
{'generation': 25, 'avg_fitness': 7293.666666666667, 'var_fitness': 1032536.0, 'best_fitness': 8955}
{'generation': 26, 'avg_fitness': 7335.1111111111113, 'var_fitness': 375754.32098765433, 'best_fitness': 8353}
{'generation': 27, 'avg_fitness': 7072.0, 'var_fitness': 419931.11111111112, 'best_fitness': 7868}
{'generation': 28, 'avg_fitness': 7115.8888888888887, 'var_fitness': 730972.54320987652, 'best_fitness': 8320}
{'generation': 29, 'avg_fitness': 7600.2222222222226, 'var_fitness': 473422.17283950612, 'best_fitness': 8501}
{'generation': 30, 'avg_fitness': 7596.1111111111113, 'var_fitness': 660176.76543209876, 'best_fitness': 8491}
{'generation': 31, 'avg_fitness': 7670.666666666667, 'var_fitness': 1432963.5555555555, 'best_fitness': 9228}
{'generation': 32, 'avg_fitness': 7581.2222222222226, 'var_fitness': 908215.72839506168, 'best_fitness': 9142}
{'generation': 33, 'avg_fitness': 7623.2222222222226, 'var_fitness': 1094633.5061728396, 'best_fitness': 9142}
{'generation': 34, 'avg_fitness': 7012.8888888888887, 'var_fitness': 1343260.3209876544, 'best_fitness': 8491}
{'generation': 35, 'avg_fitness': 6948.0, 'var_fitness': 1680474.888888889, 'best_fitness': 8397}
{'generation': 36, 'avg_fitness': 7648.8888888888887, 'var_fitness': 1032439.2098765434, 'best_fitness': 8856}
{'generation': 37, 'avg_fitness': 7451.4444444444443, 'var_fitness': 2271117.1358024692, 'best_fitness': 9979}
{'generation': 38, 'avg_fitness': 7626.5555555555557, 'var_fitness': 1361419.5802469135, 'best_fitness': 9960}
{'generation': 39, 'avg_fitness': 6788.4444444444443, 'var_fitness': 820655.1358024691, 'best_fitness': 9960}
{'generation': 40, 'avg_fitness': 7272.4444444444443, 'var_fitness': 3145180.2469135802, 'best_fitness': 9960}
{'generation': 41, 'avg_fitness': 7108.4444444444443, 'var_fitness': 2439126.9135802472, 'best_fitness': 9204}
{'generation': 42, 'avg_fitness': 7342.8888888888887, 'var_fitness': 1666098.7654320986, 'best_fitness': 9204}
{'generation': 43, 'avg_fitness': 7833.1111111111113, 'var_fitness': 651290.98765432101, 'best_fitness': 8716}
{'generation': 44, 'avg_fitness': 7587.4444444444443, 'var_fitness': 277063.80246913579, 'best_fitness': 8716}
{'generation': 45, 'avg_fitness': 7297.0, 'var_fitness': 1341523.5555555555, 'best_fitness': 9214}
{'generation': 46, 'avg_fitness': 7476.0, 'var_fitness': 1110254.6666666667, 'best_fitness': 8946}
{'generation': 47, 'avg_fitness': 7652.333333333333, 'var_fitness': 648174.66666666651, 'best_fitness': 8946}
{'generation': 48, 'avg_fitness': 7830.5555555555557, 'var_fitness': 817378.02469135798, 'best_fitness': 8946}
{'generation': 49, 'avg_fitness': 7964.8888888888887, 'var_fitness': 922183.87654321, 'best_fitness': 9052}
{'generation': 50, 'avg_fitness': 7152.7777777777774, 'var_fitness': 1536109.0617283951, 'best_fitness': 8971}
{'generation': 51, 'avg_fitness': 6743.0, 'var_fitness': 3474544.4444444445, 'best_fitness': 10109}
{'generation': 52, 'avg_fitness': 8035.5555555555557, 'var_fitness': 1151592.6913580247, 'best_fitness': 10109}
{'generation': 53, 'avg_fitness': 8001.8888888888887, 'var_fitness': 1168071.4320987654, 'best_fitness': 10109}
{'generation': 54, 'avg_fitness': 8140.2222222222226, 'var_fitness': 1617093.9506172843, 'best_fitness': 10109}
{'generation': 55, 'avg_fitness': 8521.3333333333339, 'var_fitness': 2151310.888888889, 'best_fitness': 11365}
{'generation': 56, 'avg_fitness': 8914.4444444444453, 'var_fitness': 2609450.2469135802, 'best_fitness': 11365}
{'generation': 57, 'avg_fitness': 10457.666666666666, 'var_fitness': 794741.33333333337, 'best_fitness': 11365}
{'generation': 58, 'avg_fitness': 10746.777777777777, 'var_fitness': 250914.61728395062, 'best_fitness': 11365}
{'generation': 59, 'avg_fitness': 10535.444444444445, 'var_fitness': 345713.1358024691, 'best_fitness': 11365}
{'generation': 60, 'avg_fitness': 10131.888888888889, 'var_fitness': 1791788.0987654319, 'best_fitness': 11365}
{'generation': 61, 'avg_fitness': 10032.333333333334, 'var_fitness': 1971505.111111111, 'best_fitness': 11659}
